index,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,parallax_over_error,pm,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,dr2_radial_velocity,dr2_radial_velocity_error,e_Gmag,e_BPmag,e_RPmag,bp_rp,hdbscan
41585,1995014340523205504,359.49322346600644,0.02194719,56.77043718530258,0.020332903,0.4668747961537041,0.029643701,15.749545,2.4047089,-0.9500430785700734,0.029145062,-2.2090819901663346,0.028636983,10532.557325066393,2.9867928,15.631032,5101.567102671686,9.7361355,16.069283,7760.005385015572,8.893441,15.02324,,,0.00030789000040410086,0.0020720838507142124,0.0012443201260176659,1.0460429999999992,1028
41586,1995014340523205760,359.4977822987527,0.01390001,56.77307728072394,0.013943013,0.4751563638033426,0.019829672,23.961885,2.0523355,-1.113168398636294,0.019395508,-1.724220645390656,0.019780213,22939.369149250862,4.4173074,14.785913,11257.839687022586,12.3415985,15.209905,16812.72002475607,15.698741,14.183801,,,0.0002090742138775262,0.0011902568066842415,0.0010137973776832782,1.0261039999999984,1028
41590,1995014370577201152,359.26825831892376,0.08689657,56.70096839998482,0.08968033,0.4802726027913642,0.114838295,4.182164,2.1993039,-1.0023433913979247,0.11740162,-1.957612154555314,0.12003247,824.3618969919992,1.0705506,18.397072,361.5424672583652,10.180796,18.943144,820.6512513099572,13.681162,17.4625,,,0.0014099821324672645,0.03057361115632811,0.018100420712026413,1.4806440000000016,1028
41592,1995014370583954688,359.26772536156767,0.12825517,56.70134196012565,0.13960557,0.4553324689689574,0.17540991,2.5958195,2.3746796,-1.1810989780403798,0.16515595,-2.0601233626853275,0.1809696,508.5247988572484,0.91131353,18.921587,,,,,,,,,0.0019457184696408249,,,,1028
41616,1995014374882490112,359.2735267473698,0.020641176,56.69676074939672,0.022703655,0.5077593585469844,0.029028015,17.492044,2.0969095,-1.0300917961709246,0.027298845,-1.8264556963422307,0.029841056,9875.21300510807,2.750042,15.701,4969.652719770497,8.08613,16.097727,7074.162644855585,16.17537,15.123708,,,0.00030235501375626086,0.001766603139582416,0.0024825814327480767,0.9740189999999984,1028
41617,1995014374882490496,359.2672768387341,0.0117951725,56.69519625531779,0.012292542,0.4506918544210614,0.016306011,27.639614,2.019941,-0.743320261413282,0.01565879,-1.8782003598386687,0.0161899,36236.12320760918,7.364825,14.289513,19217.598345559494,16.328526,14.629294,24478.12260529649,14.860927,13.77595,,,0.00022067087857038378,0.0009225123519469779,0.0006591619275849355,0.8533439999999999,1028
41619,1995014374882496640,359.2508161127361,0.03236076,56.68861725782737,0.033198856,0.4863917360608399,0.04369415,11.131736,2.3178682,-0.8047795318264471,0.04198734,-2.1736703877701777,0.04434048,4518.69615298328,2.0762384,16.549833,2074.8659248483305,7.7523804,17.046066,3450.876216873093,9.085252,15.903072,,,0.0004988711620056194,0.004056666974254051,0.002858458665518098,1.1429939999999998,1028
41620,1995014374882497152,359.2667318314778,0.014487288,56.692057859644734,0.014529297,0.4627470937916713,0.019388901,23.866598,2.0537274,-0.8366743910387922,0.019072715,-1.8755725228271007,0.019056609,25823.0403002358,5.18082,14.657349,13237.840146779585,15.809803,15.033999,18070.632898748747,21.8099,14.105462,,,0.00021782887603221716,0.0012966824887494614,0.0013104022523635003,0.9285370000000004,1028
41624,1995014404937068672,359.2980812027458,0.039102696,56.71094430205402,0.044065934,0.4704007447743542,0.056124903,8.38132,1.9487716,-0.8507258454879623,0.05401879,-1.7532758471992516,0.058276203,3241.7668288946147,1.775551,16.910412,1497.9002698354886,10.498737,17.399836,2484.8011269245217,11.868952,16.259666,,,0.0005946695446790788,0.007609891722888643,0.005186149812675875,1.1401700000000012,1028
41653,1995014409242207872,359.29334530035857,0.010404528,56.71369500407974,0.011723912,0.4898429531443142,0.015293029,32.03047,2.1495059,-0.8251270411177425,0.0144214,-1.9848275711553185,0.015450889,2140900.878412316,740.8782,9.860875,535227.7023906949,746.8896,11.017196,2378768.1740599293,1382.7382,8.807015,-54.304443,0.3496529,0.0003757288780471579,0.0015151029665601548,0.0006311203175716713,2.2101810000000004,1028
41655,1995014409242216704,359.30227907799207,0.048468452,56.71061450597948,0.05437279,0.4260157577665177,0.071163885,5.986404,2.1106043,-1.0206680623960347,0.06529229,-1.847400054142374,0.0695215,2113.293957934525,1.4950951,17.374968,924.8510177267718,10.425341,17.923363,1665.5518581589015,11.909104,16.694,,,0.0007681273461894642,0.012238911947646617,0.007763279969752981,1.2293629999999993,1028
41657,1995014409242217088,359.2899094974726,0.012737142,56.70722748943283,0.013177117,0.4742792507023461,0.01753096,27.05381,2.0722704,-1.0359244439315745,0.016621012,-1.794760591391093,0.017211996,36778.24103232095,7.419336,14.27339,19552.428982933783,14.499875,14.61054,24731.787227110828,15.092642,13.764757,,,0.00021902737826385413,0.0008051705118432343,0.0006625735412639418,0.8457830000000008,1028
41658,1995014409242220800,359.30678248603505,0.033226863,56.70862320396937,0.036092106,0.4743489872633005,0.047712225,9.941875,2.0675154,-0.9949197271425164,0.04516386,-1.812389193251263,0.046861082,4208.474184540781,2.0202198,16.627056,1882.7390414068957,7.556431,17.151567,3387.8218902749563,16.352337,15.923094,,,0.0005211926418573408,0.004357635622898614,0.005240630968313683,1.2284729999999993,1028
41659,1995014409242221056,359.2913308592541,0.011645857,56.70494963768078,0.012065148,0.4812936870152752,0.016389597,29.365803,2.2874947,-0.931955187928081,0.015722759,-2.0890406966530577,0.015974583,40447.21801181099,78.56636,14.170145,20891.45906806336,129.79926,14.53862,28144.739889110435,154.87135,13.624402,,,0.0021089792010701896,0.0067457115117559715,0.0059744532170939385,0.914218,1028
41660,1995014409242221952,359.3094079500963,0.012599053,56.70827543119987,0.014171204,0.5686800317461064,0.018396387,30.912592,2.2080636,-0.9335344596391986,0.017102826,-2.001014210620616,0.018306112,53953.743817616974,9.084792,13.857313,26958.01279774045,17.972383,14.261823,38752.07854740701,27.677814,13.277158,,,0.0001828174819608408,0.0007238392182421946,0.0007754630423655609,0.9846649999999997,1028
41661,1995014409242223360,359.28804032714123,0.03352671,56.70264073585775,0.035284556,0.4097805807788248,0.049130227,8.340702,2.0732605,-0.7372660671959769,0.044391517,-1.937743093051692,0.048044298,4457.474082544845,2.0217867,16.564644,2072.3573051973704,9.264888,17.04738,3339.501704154518,6.922754,15.938691,,,0.0004924598500941206,0.004854000953118024,0.0022507204128937863,1.108689,1028
41697,1995014439296696960,359.26532764565724,0.028483478,56.70538483921543,0.029958935,0.5178130176037694,0.040572356,12.762705,2.1725776,-0.9534910643121168,0.03992956,-1.952165161777749,0.04105364,5469.04073415816,2.2642395,16.342588,2439.094071800051,7.6497808,16.87047,4300.361896631495,8.109224,15.664133,,,0.0004495060323904969,0.0034052167438109694,0.0020473807323495605,1.2063370000000013,1028
41698,1995014439296805248,359.26641369336403,0.012280376,56.71526312402522,0.013738798,0.459260151732567,0.017637886,26.038275,2.2059174,-1.0396515200430212,0.017096924,-1.945557970786075,0.018818384,39724.15695246263,6.954492,14.18973,20671.682573713388,16.388035,14.550102,27349.45066856252,12.663613,13.655524,,,0.00019007939574744527,0.0008607467176846797,0.0005027283101137465,0.894578000000001,1028
41699,1995014439298648448,359.2489670336768,0.120849565,56.70119790727556,0.12692104,0.4273700202544471,0.1623898,2.6317542,2.1488738,-0.9433804760804076,0.16212465,-1.9307230511295552,0.17064145,536.0224496599991,0.89410317,18.864408,188.2384525338064,6.054759,19.651772,490.4098993479557,4.8957076,18.021498,,,0.0018110438901836467,0.0349231040145982,0.010838784038203346,1.630274,1028
41711,1995014443601929600,359.27849197706456,0.007422468,56.71923269696763,0.008276982,0.5061610846400831,0.010605279,47.727276,1.9759214,-0.8324300523783414,0.010293693,-1.7920172264949334,0.010876588,169304.81655951962,23.841463,12.615694,66869.26600800021,76.138054,13.2754755,148041.57794615623,73.1524,11.821937,-57.005478,3.8447425,0.00015289310770672158,0.0012362307338282944,0.0005364993419202525,1.4535385000000005,1028
41713,1995014443601935104,359.26393355704545,0.03033999,56.71333286048984,0.031305496,0.500242311107799,0.041685443,12.000407,2.1286662,-0.9770740754315972,0.040495805,-1.8911757554384576,0.042198915,5258.421874538689,2.150407,16.38523,2573.1337213838765,9.681031,16.812386,3976.4678979435216,10.694494,15.749152,,,0.00044400673634998906,0.00408492017680013,0.0029200284336190828,1.0632339999999996,1028
41732,1995014443601936128,359.26244617497326,0.013476423,56.71259100506799,0.014265284,0.4834226481444332,0.018648053,25.923492,2.0071404,-0.8483716553886955,0.018671053,-1.8190321918139625,0.019136103,24536.63392929596,6.3263783,14.71283,13040.899814650897,17.616592,15.050273,16586.18896532648,14.5418,14.198529,,,0.00027993970098339713,0.0014666911034286211,0.0009519099761468916,0.8517440000000001,1028
41733,1995014443601938176,359.2712261876204,0.011354607,56.7129712748124,0.012115673,0.4635827564327716,0.015733948,29.463854,2.1991057,-0.9642517752884844,0.01576833,-1.9764321698353804,0.01671614,38993.856372750655,7.0004125,14.209876,20748.96156984352,16.239925,14.546051,26234.89262919585,18.314905,13.700697,,,0.00019491791801343238,0.0008497906979924896,0.0007579659549693078,0.8453540000000004,1028
41734,1995014443601938816,359.2580781770466,0.051866014,56.7097143974796,0.05566765,0.4756478667389249,0.07280382,6.533282,2.017026,-0.6154443438656032,0.06951078,-1.920838831139088,0.075015455,1760.6530575436468,1.3061975,17.573183,755.6883547490675,9.393117,18.142685,1431.179002176762,8.424755,16.85866,,,0.0008054885715491961,0.01349557279576651,0.006391277056052936,1.2840249999999997,1028
41735,1995014443601943040,359.2555639726682,0.054783378,56.70679978608456,0.057079423,0.4840370549381808,0.07643904,6.3323283,2.0713527,-1.0811125106107091,0.074399374,-1.766832776816069,0.07647187,1679.1847004057972,1.3577496,17.62462,699.7874024311882,6.1849694,18.226128,1350.7231733029766,8.017208,16.92148,,,0.0008779009821609372,0.009596121878689422,0.006444379691355171,1.3046480000000003,1028
41737,1995014443601945856,359.26077604088016,0.034015123,56.70658658647895,0.03540401,0.502155061290675,0.047578376,10.554271,2.1339328,-1.1206293668369942,0.045337144,-1.8160007293009537,0.04695604,4034.912207664759,1.7830408,16.672781,1881.181572917962,6.5835423,17.152466,3032.8048836162075,8.715954,16.043283,,,0.00047979035267320597,0.003799734344398838,0.0031202887030183177,1.1091830000000016,1028
41739,1995014443601948160,359.2520689518734,0.011961773,56.70327816067937,0.012630424,0.4975804145999605,0.016974645,29.313156,2.111369,-0.9067787804557144,0.016568828,-1.9067330598172576,0.01672599,33519.72837224873,7.093941,14.374116,17749.12094776299,15.096049,14.7156,22695.217635914065,14.902943,13.85806,,,0.00022977956421910522,0.0009234444340280699,0.0007129548185932187,0.8575400000000002,1028
41740,1995014443601948288,359.27657444711707,0.036069278,56.70858202001924,0.03781754,0.4726885051037637,0.050415806,9.375799,2.26749,-0.7977007956762987,0.051585138,-2.1225418440591657,0.055744804,4080.661757251845,2.0192003,16.66054,1923.2401249315683,9.392036,17.128458,3074.2185062443464,9.066308,16.028559,,,0.0005372459176437382,0.005302132265961618,0.0032019906259408456,1.099898999999997,1028
41742,1995014443601956352,359.2489335685178,0.048250917,56.69746448792207,0.04941531,0.4333210952826295,0.06528252,6.6376276,2.1676166,-0.961207160237028,0.06433727,-1.942843843272994,0.06598713,2203.441662093163,1.6377848,17.329613,909.7073100777168,5.571224,17.941288,1814.0354375821985,6.2906456,16.60128,,,0.0008070112694852769,0.0066492590909274394,0.003765076215008034,1.340008000000001,1028
41743,1995014443602402176,359.266223885982,0.03540207,56.71139685994803,0.03671769,0.5208406565326132,0.047933355,10.865933,2.185125,-0.7291556113289983,0.04798341,-2.0598796070604304,0.051191755,4252.405106704025,2.075764,16.61578,2022.667502460736,7.9616084,17.07373,3197.830929956824,7.5541773,15.985757,,,0.0005299899870265153,0.00427366657024453,0.0025648147045355995,1.0879730000000016,1028
41773,1995014477953337856,359.29153544102115,0.01596619,56.71508648394298,0.016688945,0.4749733250519812,0.022117877,21.474634,2.2782238,-0.8170125280632783,0.021906924,-2.1266861643673973,0.022270337,28846.369970245385,7.6226177,14.537139,15550.251692754808,59.405468,14.859199,19945.174212229816,76.380646,13.998301,,,0.0002869044535051334,0.004147757132333221,0.004157859531463222,0.8608980000000006,1028
41775,1995014477961663104,359.3025143940506,0.021236252,56.72723427061776,0.023372537,0.4771066396960119,0.030759022,15.511112,2.2094154,-0.8108090897204924,0.029773137,-2.055262870476095,0.032241542,10831.091088979492,3.1584728,15.600686,5471.98729302945,10.84931,15.993179,7698.854012005943,14.230964,15.03183,,,0.0003166133718691576,0.0021526893307390995,0.0020069315276422263,0.9613490000000002,1028
41776,1995014477961667200,359.27992199475904,0.0072370768,56.71978089732141,0.007591049,0.4959698612284148,0.010078369,49.211327,2.2216878,-0.7820770534420471,0.010019797,-2.079483677930733,0.010112815,162606.66634258002,23.480402,12.659521,62901.86608093087,65.09262,13.341884,144019.4868960369,76.588165,11.851842,,,0.00015678030382816776,0.001123550358675102,0.0005773839734376781,1.4900420000000008,1028
41777,1995014477961668864,359.3000458116613,0.031422697,56.72376015862036,0.034481738,0.4919145050055544,0.04513175,10.899522,2.0692682,-0.8469870088316249,0.042690888,-1.8879842054581089,0.04578822,4445.85948788618,2.1664279,16.567478,2096.882591506039,8.735368,17.034607,3358.164470290823,9.353519,15.932641,,,0.0005290696236435673,0.004523050235575528,0.0030241086492447983,1.101966000000001,1028
41779,1995014477961671680,359.2887360104464,0.02721558,56.71981384255039,0.029253347,0.4820462558361308,0.038492102,12.523252,2.0771997,-0.80795351947784,0.037833735,-1.91362724626924,0.039846476,6369.241524342765,2.5120606,16.177147,3138.442071611249,14.879002,16.596756,4670.340693642847,17.6119,15.574524,,,0.00042821977021005977,0.005147353621147115,0.00409432174629314,1.022231999999999,1028
41780,1995014477961673216,359.28059026238924,0.018294647,56.71715296899633,0.01940128,0.4899735724583945,0.025207557,19.437567,2.204062,-0.9358936789395182,0.024873622,-1.9954930599945364,0.025907008,13951.615325179238,3.524133,15.325806,7270.853871450385,15.445732,15.684579,9759.112943222051,15.020437,14.774369,,,0.00027425346092917196,0.0023064678149068516,0.00167107731584509,0.9102099999999993,1028
41782,1995014477961673856,359.2852053023497,0.049113523,56.71789674422544,0.04906007,0.51897578165987,0.06347845,8.175621,2.2787943,-1.0557459810858605,0.06507981,-2.019481163360197,0.06579817,2314.3595596360447,1.6951164,17.276289,1037.726463923335,15.97067,17.798334,1818.4125341710687,16.545126,16.598665,,,0.0007952304727657321,0.016709542674364673,0.009878749718734123,1.199669,1028
41783,1995014477961675264,359.2820510202591,0.021584734,56.71645870386249,0.021425793,0.5097773701672331,0.02831631,18.00296,2.054429,-0.8696781311886885,0.028317574,-1.86127350821811,0.028590284,10518.998619095906,3.1024165,15.632431,5400.574715669919,14.495213,16.007442,7483.24361354155,23.868336,15.062671,,,0.0003202211577605958,0.0029141301395417267,0.003463032593999346,0.9447710000000011,1028
41786,1995014477961679872,359.28140708884376,0.010689017,56.7135478975359,0.011499677,0.4603868270931601,0.01467831,31.365112,2.2107553,-1.008552606417925,0.014177456,-1.967297848889892,0.015716696,45332.42438691672,8.639876,14.046345,23249.48802425153,17.721758,14.422509,31665.270219977225,13.616795,13.496437,,,0.00020692972645266613,0.000827594751871163,0.00046689155726649303,0.9260719999999996,1028
41793,1995014508016261504,359.32368617166566,0.07864982,56.724794379388605,0.08137597,0.4678483828105149,0.10423486,4.488406,2.1575587,-0.943091433510273,0.107063696,-1.9405251369199357,0.105028786,1067.8265645174697,1.2992417,18.116116,401.5714843832063,8.410464,18.829136,880.6709389090717,7.9917107,17.38586,,,0.001321032646400718,0.022739526133536275,0.009852589953395536,1.4432759999999973,1028
41827,1995014512321418880,359.31583150629115,0.028182395,56.72106482122578,0.03126081,0.5123819664576619,0.041528113,12.338196,2.2720385,-0.911827060945409,0.039695956,-2.0810406093243525,0.041965768,6010.7360953070165,2.3339815,16.240047,2940.7818080685024,11.248451,16.667385,4400.516538104286,8.497306,15.639136,,,0.0004215936576826619,0.004152926430869468,0.0020965340516781493,1.0282489999999989,1028
41833,1995014512321430528,359.3181612759313,0.03510984,56.71486178183071,0.038832158,0.4718210284806665,0.05045742,9.350875,2.336593,-0.8595089935768144,0.047585618,-2.1727656383197678,0.050738346,3419.012877331621,1.7990035,16.852615,1602.710684383767,10.7074175,17.326405,2623.83115948574,11.371394,16.200556,,,0.0005712886445636923,0.007253605377742078,0.004705460608520708,1.1258490000000023,1028
41834,1995014512321432320,359.3229472471438,0.011802507,56.71467865942525,0.013109082,0.4720593822194019,0.017131472,27.555098,2.157325,-0.8201910920306835,0.015976807,-1.995329115969348,0.017004663,30453.517894422308,6.269317,14.478273,16133.24285654697,16.174232,14.819238,20667.01918665142,18.934557,13.959701,,,0.00022351520995386617,0.0010884946952516212,0.000994721777257293,0.8595369999999996,1028
41871,1995014512321884160,359.3326721777123,0.013630366,56.72671224212127,0.015085536,0.497320877331125,0.019852882,25.050312,2.0791767,-1.0955026249338704,0.018468391,-1.767158730841829,0.019893978,24903.693094418577,5.327826,14.696708,13242.427376500962,13.419721,15.033623,16751.308660377075,13.803323,14.187774,,,0.00023227934744136946,0.0011002723694983829,0.0008946624906100467,0.8458490000000012,1028
41872,1995014512321885184,359.33377516808,0.014692697,56.722859934382505,0.016139908,0.4628822978194763,0.02106683,21.97209,2.2722945,-0.9254368410257784,0.019701853,-2.07530446236652,0.021332625,21263.685024251998,5.023085,14.868271,11171.587321237826,12.735479,15.218255,14538.873185517989,19.651983,14.341569,,,0.00025648166053331286,0.0012377265859928638,0.001467573804801097,0.8766859999999994,1028
41873,1995014542376036736,359.3567360188844,0.09109509,56.72957448599431,0.08969798,0.4927101528143683,0.121952556,4.040179,1.9526383,-1.0170270108430677,0.120159686,-1.66686901570144,0.1156471,880.8209542677168,1.0850527,18.325148,337.1640577237169,10.8805,19.01894,767.8778057676669,12.631878,17.534666,,,0.0013374806704501891,0.0350374024314035,0.017860767918635948,1.4842739999999992,1028
41886,1995014546681141760,359.36765058033933,0.0141912345,56.7407363569748,0.014851498,0.455103893798588,0.020207686,22.521326,2.213884,-0.9117519758473824,0.01888534,-2.017421954394061,0.019112697,20486.021924815952,4.7920723,14.908723,10693.027486906298,13.7405205,15.265791,14094.69884947733,13.68828,14.375256,,,0.0002539744617585292,0.0013951690105855616,0.0010544291393226701,0.8905349999999999,1028
41904,1995014546681145472,359.3696600529108,0.013043103,56.73951482139661,0.014665406,0.439587501588174,0.019388758,22.672289,2.3116746,-1.0134757655967843,0.017898856,-2.0776685568286384,0.019398239,27517.996469907863,8.259129,14.588325,14498.769673364182,20.301971,14.935214,18734.75168153746,22.571417,14.066276,,,0.0003258680327571766,0.0015203072701502555,0.0013080827035323694,0.868938,1028
41908,1995014546681152384,359.36785456385945,0.010242482,56.73529471831775,0.010451824,0.4836116069989201,0.01447496,33.41022,2.1979566,-0.9567158749162314,0.013494098,-1.9788146449650936,0.013412083,46903.2543157966,7.311609,14.009359,23953.99005417764,16.487698,14.390098,32882.33521108007,15.275635,13.455489,,,0.00016925219203098605,0.0007473197831021129,0.0005043835805366355,0.934609,1028
