index,source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_mag,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_mag,dr2_radial_velocity,dr2_radial_velocity_error,e_Gmag,e_BPmag,e_RPmag,bp_rp,hdbscan
31936,342544743031748480,28.713048807586045,0.19615635,37.62721714357925,0.21666437,2.0064086511254047,0.22704126,16.120457,10.500618343423916,0.27960134,-12.231357835503974,0.35959172,576.1563720388622,1.6022444,18.786016,112.89017900181764,7.8682027,20.206902,706.4776652749925,15.591053,17.625149,,,0.0030193448139694064,0.07567347853729703,0.02396080094876574,2.581752999999999,268
31944,342544876174824960,28.67215878568956,0.06196088,37.633014186896766,0.07022504,2.29474286359638,0.07788895,15.177645,9.747507031900716,0.08537379,-11.63387270086653,0.10894901,2815.9376610672107,2.5210993,17.063309,736.2063143991151,9.060243,18.171043,3070.413508803936,11.671744,16.029903,,,0.0009720558887525189,0.013361789564431143,0.0041272730845966586,2.14114,268
32088,342546353643538560,28.82972197672238,0.0723105,37.57301134888191,0.08501377,2.2698982934996925,0.087175325,15.712174,10.014047916493816,0.09495482,-12.107488103865933,0.12706336,2210.546611221328,2.2537174,17.326118,570.3618915761506,15.770345,18.448166,2463.049012950201,14.750992,16.269213,,,0.001106940050054598,0.03002029900824866,0.006502382204450815,2.178953,268
32403,342549068062416256,28.94757015517525,0.018630175,37.7073203969824,0.018708188,2.2615230137702347,0.022752859,15.380641,9.73137859821087,0.02219422,-11.910683457925128,0.021459676,2324470.5997069185,566.03864,9.771557,1346444.4085761784,784.468,10.015572,1417225.056826205,504.57434,9.369298,9.966457,1.0420213,0.0002643908014227158,0.0006325736908624934,0.0003865544334622354,0.646274,268
32830,342553814002652160,28.872130953108837,0.10555653,37.84058846569822,0.084657125,2.284278506690506,0.1215516,16.39938,10.98909654634596,0.116876476,-12.172897264707904,0.11077624,2062868.8614626096,2757.0918,9.901188,1274931.8271007566,835.7913,10.074824,1338153.250420995,1013.69763,9.431631,,,0.0014511219995726413,0.00071176266427942,0.000822482938499196,0.6431930000000001,268
32850,342554187663431424,28.813775659327533,0.015476766,37.841975563432,0.01454237,2.2784589680269147,0.018728811,15.217807,9.684169480552598,0.018325467,-11.738761048418942,0.020289956,3634046.466481736,947.0199,9.28639,1665080.0782173453,2123.4077,9.784954,2800977.911498209,1329.7341,8.6296215,5.383035,0.20376569,0.0002829390877469648,0.0013845944393379823,0.0005154415710116141,1.1553325,268
32851,342554191959774720,28.8026572171978,0.016733535,37.83732286520174,0.015224256,2.2545673117508773,0.019928677,15.345482,9.705000225717772,0.019178543,-11.886833011930564,0.020548778,3789619.673206821,966.09155,9.240878,1770001.8802605656,1801.5963,9.718608,2883075.8973397603,1889.3499,8.598255,5.2930074,0.34656066,0.000276787821311443,0.0011051165261928043,0.0007115093958431469,1.1203529999999997,268
34877,342579446367442816,27.253201447729857,0.029209908,36.83844628463493,0.033708204,2.3110941053752194,0.036575973,15.819795,10.285553411418404,0.03719745,-12.019704139785691,0.046254873,10530.85705499549,4.850422,15.631207,3726.527895903129,17.82612,16.410282,9837.350046203224,18.974483,14.7657,,,0.0005000807385622225,0.0051936989108926045,0.002094190311710908,1.644581999999998,268
38443,342612397356469760,27.54817511982202,0.20413007,37.12751402255921,0.20732567,2.313290875189077,0.27451068,15.809583,10.650815503620086,0.32335708,-11.683451411782077,0.29817474,535.3528240406073,1.7195932,18.865767,102.4880222042698,10.314188,20.31186,686.0524528773828,14.890105,17.657001,,,0.0034874656690972654,0.10926630345116853,0.023564854295535186,2.6548589999999983,268
39103,342618719548277760,27.784993035652185,0.064350806,37.336288269364566,0.045971457,2.286164830120192,0.06582325,15.439869,9.908386653743534,0.06640618,-11.841175006068193,0.05635309,4393.532950320857,2.9863968,16.580332,1285.1722620644073,13.989818,17.56614,4565.494030539676,12.795867,15.599176,,,0.0007380026880865955,0.011818845106552529,0.0030430301694048083,1.9669640000000008,268
